s.entity_en,type(r),t.entity_en
1500~2500mg,AMOUNT_DRUG,Metformin
Hirsutism,SYMPTOM_DISEASE,PCOS
Plasma insulin,TEST_ITEMS_DISEASE,diabetes
Plasma insulin,TEST_ITEMS_DISEASE,PCOS
Estradiol (E2),TEST_ITEMS_DISEASE,PCOS
prostate,ANATOMY_DISEASE,Prostate cancer
rectum,ANATOMY_DISEASE,Rectal cancer
Blood sugar levels,TEST_ITEMS_DISEASE,diabetes
Blood sugar levels,TEST_ITEMS_DISEASE,High blood sugar
HbA1c Level,TEST_ITEMS_DISEASE,diabetes
HbA1c Level,TEST_ITEMS_DISEASE,Stress-induced hyperglycemia
HbA1,TEST_ITEMS_DISEASE,diabetes
Screening for complications,TREATMENT_DISEASE,diabetes
Control of stress,TREATMENT_DISEASE,diabetes
Screening or evaluation for chronic complications,TEST_DISEASE,diabetes
Perioperative blood sugar,TEST_ITEMS_DISEASE,diabetes
foot,ANATOMY_DISEASE,Diabetic foot ulcer
foot,ANATOMY_DISEASE,Diabetic foot
foot,ANATOMY_DISEASE,Diabetic foot disease
foot,ANATOMY_DISEASE,Podiatry
foot,ANATOMY_DISEASE,High-risk foot
foot,ANATOMY_DISEASE,Foot deformity
foot,ANATOMY_DISEASE,Foot ulcer
foot,ANATOMY_DISEASE,Diabetic high risk foot
foot,ANATOMY_DISEASE,Diabetic foot infection
foot,ANATOMY_DISEASE,Foot infection
foot,ANATOMY_DISEASE,Foot gangrene
foot,ANATOMY_DISEASE,Dry gangrene of the foot or a few toes
foot,ANATOMY_DISEASE,Severe wet or dry gangrene or necrosis of the feet or toes
Islet cell transplantation,OPERATION_DISEASE,diabetes
Stem Cell Therapy,TREATMENT_DISEASE,diabetes
Blood ketones,TEST_ITEMS_DISEASE,DKA
Random blood sugar,TEST_ITEMS_DISEASE,diabetes
Random blood sugar,TEST_ITEMS_DISEASE,Diabetic ketoacidosis
Random blood sugar,TEST_ITEMS_DISEASE,Metabolic instability
Fluid replacement,TREATMENT_DISEASE,Disorders of glucose metabolism
Fluid replacement,TREATMENT_DISEASE,"Disturbance of water, electrolyte and acid-base balance"
Intravenous drip,METHOD_DRUG,insulin
Intravenous drip,METHOD_DRUG,glucose
Intravenous drip,METHOD_DRUG,Short-acting insulin
0.05~0.1U·kg-1·h-1,AMOUNT_DRUG,insulin
0.1U·kg-1·h-1,AMOUNT_DRUG,insulin
Long-acting insulin analogs,DRUG_DISEASE,Type 2 diabetes
Long-acting insulin analogs,DRUG_DISEASE,Brittle diabetes
injection,METHOD_DRUG,insulin
injection,METHOD_DRUG,Basal insulin
injection,METHOD_DRUG,Short-acting insulin
injection,METHOD_DRUG,Mealtime insulin
injection,METHOD_DRUG,Intermediate-acting insulin
injection,METHOD_DRUG,Rapid-acting insulin analogs
injection,METHOD_DRUG,Premixed insulin
injection,METHOD_DRUG,Premixed insulin analogs
injection,METHOD_DRUG,Short-acting or rapid-acting insulin
injection,METHOD_DRUG,Glucagon-like peptide 1 analogs
injection,METHOD_DRUG,Insulin analogs
injection,METHOD_DRUG,Short-acting glucagon-like peptide-1 (GLP-1) receptor agonists
injection,METHOD_DRUG,Long-acting insulin
injection,METHOD_DRUG,Basal-meal insulin
Continuous subcutaneous insulin infusion (CSH),METHOD_DRUG,insulin
Multiple daily subcutaneous insulin injections (MDI),METHOD_DRUG,insulin
Rapid-acting insulin analogs,DRUG_DISEASE,diabetes
Rapid-acting insulin analogs,DRUG_DISEASE,T2DM
Rapid-acting insulin analogs,DRUG_DISEASE,High blood sugar
Rapid-acting insulin analogs,DRUG_DISEASE,Brittle diabetes
MDI,METHOD_DRUG,insulin
CSII,METHOD_DRUG,insulin
Insulin analogs,DRUG_DISEASE,Type 2 diabetes
Insulin analogs,DRUG_DISEASE,diabetes
Insulin analogs,DRUG_DISEASE,Type 1 diabetes
60ml,AMOUNT_DRUG,50% glucose solution
Continuous intravenous drip,METHOD_DRUG,5%~10% glucose solution
Infect,REASON_DISEASE,High blood sugar
Infect,REASON_DISEASE,Bone destruction
Infect,REASON_DISEASE,osteomyelitis
Infect,REASON_DISEASE,Bone and joint destruction
Infect,REASON_DISEASE,Pseudarthrosis
Infect,REASON_DISEASE,Charcot arthropathy
Infect,REASON_DISEASE,Severe wet or dry gangrene or necrosis of the feet or toes
0.2U·kg1·d1,AMOUNT_DRUG,insulin
Subcutaneous insulin injection,METHOD_DRUG,insulin
Persistent hyperglycemia,SYMPTOM_DISEASE,Disorders of glucose metabolism
0.05U·kg-1·d-1,AMOUNT_DRUG,insulin
Nighttime blood sugar,TEST_ITEMS_DISEASE,diabetes
Nighttime blood sugar,TEST_ITEMS_DISEASE,GDM
CSⅡ,METHOD_DRUG,insulin
3 times a day,FREQUENCY_DRUG,Gliquidone
3 times a day,FREQUENCY_DRUG,insulin
3 times a day,FREQUENCY_DRUG,Premixed insulin
3 times a day,FREQUENCY_DRUG,Premixed insulin analogs
3 times a day,FREQUENCY_DRUG,Glipizide common dosage form
3 times a day,FREQUENCY_DRUG,Sodium bicarbonate (baking soda)
3 times a day,FREQUENCY_DRUG,Premixed insulin
0.4~0.5U·kg-1·d-1,AMOUNT_DRUG,insulin
2 times,FREQUENCY_DRUG,Premixed insulin
1 time per day,FREQUENCY_DRUG,Premixed insulin
0.2U·kg-1·d-1,AMOUNT_DRUG,insulin
2 times a day,FREQUENCY_DRUG,insulin
2 times a day,FREQUENCY_DRUG,Premixed insulin
Premixed insulin,DRUG_DISEASE,Type 2 diabetes
Premixed insulin,DRUG_DISEASE,diabetes
Premixed insulin,DRUG_DISEASE,Type 1 diabetes
Premixed insulin,DRUG_DISEASE,T2DM
0.2~0.4U·kg-1·d-1,AMOUNT_DRUG,insulin
Health Guidance,TREATMENT_DISEASE,diabetes
Foot protection,TREATMENT_DISEASE,diabetes
Blood glucose monitoring,TEST_ITEMS_DISEASE,Type 2 diabetes
Blood glucose monitoring,TEST_ITEMS_DISEASE,diabetes
Blood glucose monitoring,TEST_ITEMS_DISEASE,Type 1 diabetes
Hypoglycemic events,SYMPTOM_DISEASE,diabetes
Continuous intravenous insulin infusion,METHOD_DRUG,Insulin
Pipe blocking,ADE_DRUG,Rapid-acting insulin analogs
1 or 2 times a day,FREQUENCY_DRUG,insulin
1 or 2 times a day,FREQUENCY_DRUG,Intermediate-acting insulin
Every 4 hours,FREQUENCY_DRUG,Short-acting or rapid-acting insulin
10U,AMOUNT_DRUG,insulin
"Intravenous, intramuscular, or subcutaneous injection",METHOD_DRUG,insulin
Assessment of glucose metabolism status,TEST_DISEASE,High blood sugar
Adverse pregnancy,SYMPTOM_DISEASE,diabetes
Adverse pregnancy,SYMPTOM_DISEASE,High blood sugar
Avoid pregnancy,TREATMENT_DISEASE,diabetes
Develop a pregnancy plan as a family unit,TREATMENT_DISEASE,diabetes
Develop a comprehensive pregnancy follow-up plan,TREATMENT_DISEASE,diabetes
Fatigue,SYMPTOM_DISEASE,diabetes
Fatigue,SYMPTOM_DISEASE,DKA
Fatigue,SYMPTOM_DISEASE,Cardiac autonomic neuropathy
Blood gas analysis,TEST_DISEASE,Chronic heart failure
Diet and exercise intervention,TREATMENT_DISEASE,Hyperglycemia during pregnancy
Short-acting human insulin,DRUG_DISEASE,T2DM
Short-acting human insulin,DRUG_DISEASE,High blood sugar
Insulin Aspart,DRUG_DISEASE,diabetes
Insulin Aspart,DRUG_DISEASE,Gestational diabetes
Insulin Detemir,DRUG_DISEASE,diabetes
Insulin Detemir,DRUG_DISEASE,Gestational diabetes
Abnormal feeding due to early pregnancy symptoms (such as morning sickness),REASON_DISEASE,Hypoglycemia during pregnancy
Excessive exercise,REASON_DISEASE,Hypoglycemia during pregnancy
Excessive insulin dose,REASON_DISEASE,Hypoglycemia during pregnancy
Excessive insulin dose,REASON_DISEASE,Weight gain
Excessive energy consumption during the peripartum period,REASON_DISEASE,Hypoglycemia during pregnancy
Glucagon,DRUG_DISEASE,diabetes
"Diabetes that is missed, undiagnosed, or untreated during pregnancy",REASON_DISEASE,DKA during pregnancy
Insulin therapy is not standardized,REASON_DISEASE,DKA during pregnancy
Improper diet control,REASON_DISEASE,DKA during pregnancy
Stress during labor and before and after surgery,REASON_DISEASE,DKA during pregnancy
Co-infection,REASON_DISEASE,DKA during pregnancy
Use of glucocorticoids,REASON_DISEASE,DKA during pregnancy
Feed sugar water and milk early,TREATMENT_DISEASE,Hypoglycemia
Oral glucose tolerance test (OGTT),TEST_DISEASE,GDM
Healthy lifestyle guidance,TREATMENT_DISEASE,diabetes
Follow-up of growth and development,TREATMENT_DISEASE,diabetes
Blood sugar standard rate,TEST_ITEMS_DISEASE,Hypoglycemia
1700 or 2000 mg/day,AMOUNT_DRUG,Metformin
2000 mg/day,AMOUNT_DRUG,Metformin
Exfoliative skin lesions,ADE_DRUG,Sitagliptin
Skin adverse reactions,ADE_DRUG,Alogliptin
Increased risk of hypoglycemia,ADE_DRUG,Sulfonylureas
Increased risk of hypoglycemia,ADE_DRUG,insulin
Increased risk of hypoglycemia,ADE_DRUG,Sulfonylureas
Increased risk of hypoglycemia,ADE_DRUG,Sitagliptin
Increased risk of hypoglycemia,ADE_DRUG,Linagliptin
2.5 mg/day,AMOUNT_DRUG,Saxagliptin
Level l-II,CLASS_DISEASE,Congestive heart failure
Level III-IV,CLASS_DISEASE,Congestive heart failure
GL-1 receptor agonists,DRUG_DISEASE,Type 2 diabetes
GL-1 receptor agonists,DRUG_DISEASE,Nonalcoholic fatty liver disease
ALT,TEST_ITEMS_DISEASE,Type 2 diabetes
Triglycerides,TEST_ITEMS_DISEASE,diabetes
Triglycerides,TEST_ITEMS_DISEASE,obesity
Uric acid,TEST_ITEMS_DISEASE,diabetes
Uric acid,TEST_ITEMS_DISEASE,obesity
Uric acid,TEST_ITEMS_DISEASE,Coronary heart disease
Uric acid,TEST_ITEMS_DISEASE,Stroke
Uric acid,TEST_ITEMS_DISEASE,Neurological disorders
Uric acid,TEST_ITEMS_DISEASE,Heart failure
Uric acid,TEST_ITEMS_DISEASE,CKD
Uric acid,TEST_ITEMS_DISEASE,Dyslipidemia
Uric acid,TEST_ITEMS_DISEASE,DKD
Uric acid,TEST_ITEMS_DISEASE,HUA
Uric acid,TEST_ITEMS_DISEASE,gout
Uric acid,TEST_ITEMS_DISEASE,Urinary tract stones
Uric acid,TEST_ITEMS_DISEASE,Gouty arthritis
Uric acid,TEST_ITEMS_DISEASE,Uric acid kidney stones
Uric acid,TEST_ITEMS_DISEASE,Renal impairment ≥ G2
Urine protein,TEST_ITEMS_DISEASE,Type 2 diabetes
Urine protein,TEST_ITEMS_DISEASE,diabetes
Urine protein,TEST_ITEMS_DISEASE,Diabetic nephropathy
Urine protein,TEST_ITEMS_DISEASE,hypertension
Urine protein,TEST_ITEMS_DISEASE,CKD
Urine protein,TEST_ITEMS_DISEASE,Cardiovascular and cerebrovascular diseases
Glomerular filtration rate,TEST_ITEMS_DISEASE,diabetes
Glomerular filtration rate,TEST_ITEMS_DISEASE,Renal insufficiency
Glomerular filtration rate,TEST_ITEMS_DISEASE,hypertension
Glomerular filtration rate,TEST_ITEMS_DISEASE,Renal impairment
eGFR,TEST_ITEMS_DISEASE,CKD
5 mg,AMOUNT_DRUG,Dapagliflozin
10 mg,AMOUNT_DRUG,Empagliflozin
10 mg,AMOUNT_DRUG,Dapagliflozin
Once a day,FREQUENCY_DRUG,Empagliflozin
Once a day,FREQUENCY_DRUG,Dapagliflozin
Once a day,FREQUENCY_DRUG,Canagliflozin
20 mg,AMOUNT_DRUG,Empagliflozin
once,FREQUENCY_DRUG,Empagliflozin
once,FREQUENCY_DRUG,Dapagliflozin
Reproductive tract,ANATOMY_DISEASE,Urogenital tract infection
Reproductive tract,ANATOMY_DISEASE,Reproductive tract infections
Reproductive tract,ANATOMY_DISEASE,Reproductive and urinary tract infections
Vulvovaginal,ANATOMY_DISEASE,Vulvovaginal yeast infection
Vulvovaginal,ANATOMY_DISEASE,Vulvovaginitis
vaginal,ANATOMY_DISEASE,Vaginal candidiasis
Glans,ANATOMY_DISEASE,Candidal balanitis
Foreskin of penis,ANATOMY_DISEASE,Phallitis
Urinary tract,ANATOMY_DISEASE,Reproductive and urinary tract infections
Urinary tract,ANATOMY_DISEASE,Urinary tract infection
Urinary,ANATOMY_DISEASE,Urogenital infections
Reproduction,ANATOMY_DISEASE,Urogenital infections
Pay attention to personal genital hygiene,TREATMENT_DISEASE,Infect
Drink plenty of water,TREATMENT_DISEASE,Infect
Keep your bladder open,TREATMENT_DISEASE,Infect
stomach ache,SYMPTOM_DISEASE,DKA
trouble breathing,SYMPTOM_DISEASE,DKA
Arterial pH,TEST_ITEMS_DISEASE,DKA
Monitoring renal function,TEST_DISEASE,Kidney disease
Monitoring renal function,TEST_DISEASE,Acute and chronic uric acid (salt) nephropathy
Testing kidney function,TEST_DISEASE,Renal insufficiency
Monitor renal function 2 to 4 times,TEST_DISEASE,Renal insufficiency
bladder,ANATOMY_DISEASE,Bladder cancer
Toes,ANATOMY_DISEASE,Toe amputation
25 mg,AMOUNT_DRUG,Empagliflozin
Basic islets,DRUG_DISEASE,Type 2 diabetes
Glycated hemoglobin,TEST_ITEMS_DISEASE,Type 2 diabetes
Liver enzymes,TEST_ITEMS_DISEASE,diabetes
Liver enzymes,TEST_ITEMS_DISEASE,Cardiovascular disease
Liver enzymes,TEST_ITEMS_DISEASE,Liver and kidney dysfunction
Liver enzymes,TEST_ITEMS_DISEASE,NAFLD
Liver enzymes,TEST_ITEMS_DISEASE,Liver dysfunction
Liver enzymes,TEST_ITEMS_DISEASE,hepatitis
Liver function tests,TEST_DISEASE,Liver damage
2.5 mg,AMOUNT_DRUG,Saxagliptin
Lose weight,ADE_DRUG,Metformin
Lose weight,ADE_DRUG,Acarbose
Lose weight,ADE_DRUG,SGLT2i
Lose weight,ADE_DRUG,Sodium-glucose co-transporter 2 (SGLT-2) inhibitors
500–2000 mg/day,AMOUNT_DRUG,Metformin
500 mg/day,AMOUNT_DRUG,Metformin
2550 mg/day,AMOUNT_DRUG,Metformin
Daily dosage up to 1000 mg,AMOUNT_DRUG,Metformin
Anticoagulation,ADE_DRUG,Warfarin
Diet and exercise interventions,TREATMENT_DISEASE,diabetes
Weight gain,ADE_DRUG,insulin
Weight gain,ADE_DRUG,Sulfonylureas
Pay attention to diet and exercise,TREATMENT_DISEASE,Type 2 diabetes
Alanine aminotransferase (ALT),TEST_ITEMS_DISEASE,Liver damage
Total serum bilirubin (TBIL),TEST_ITEMS_DISEASE,Liver damage
Self-monitoring of blood glucose (SMBG),TEST_ITEMS_DISEASE,diabetes
Self-monitoring of blood glucose (SMBG),TEST_ITEMS_DISEASE,Hypoglycemia
HbA1c,TEST_ITEMS_DISEASE,diabetes
Severe hypoglycemic events,ADE_DRUG,insulin
Weight gain,REASON_DISEASE,CVD
Weight gain,REASON_DISEASE,T2DM
Mild hypoglycemia,REASON_DISEASE,fracture
Mild hypoglycemia,REASON_DISEASE,Fall Injury
High blood sugar,REASON_DISEASE,CKD
High blood sugar,REASON_DISEASE,Early miscarriage
High blood sugar,REASON_DISEASE,Fetal malformation
High blood sugar,REASON_DISEASE,Chronic kidney disease
High blood sugar,REASON_DISEASE,Diabetic microvascular complications
High blood sugar,REASON_DISEASE,Chronic kidney disease
Early,CLASS_DISEASE,Diabetic nephropathy
Early,CLASS_DISEASE,Early miscarriage
Before pregnancy,CLASS_DISEASE,Pre-gestational diabetes
Pregnancy,CLASS_DISEASE,Gestational diabetes
"Capillary blood glucose before meals, before bedtime and at night",TEST_ITEMS_DISEASE,Pre-gestational diabetes
Post-meal peak,TEST_ITEMS_DISEASE,Pre-gestational diabetes
Capillary blood glucose before meals,TEST_ITEMS_DISEASE,GDM
1 hour after meal,TEST_ITEMS_DISEASE,GDM
2h,TEST_ITEMS_DISEASE,GDM
Blood sugar 1 hour after meal,TEST_ITEMS_DISEASE,diabetes
Malignant,CLASS_DISEASE,Malignant tumors
Self-monitoring of blood glucose (SMBG),TEST_ITEMS_DISEASE,diabetes
Self-management,TREATMENT_DISEASE,Type 2 diabetes
Self-management,TREATMENT_DISEASE,diabetes
Self-management,TREATMENT_DISEASE,Complications of diabetes
Self-management,TREATMENT_DISEASE,diabetes
Diabetes self-management education/support (DSME/S),TREATMENT_DISEASE,diabetes
Education Management,TREATMENT_DISEASE,diabetes
DSME/S,TREATMENT_DISEASE,diabetes
Emotional Management,TREATMENT_DISEASE,diabetes
Diet management,TREATMENT_DISEASE,diabetes
Sports Management,TREATMENT_DISEASE,diabetes
Blood lipids,TEST_ITEMS_DISEASE,Type 2 diabetes
Blood lipids,TEST_ITEMS_DISEASE,diabetes
Blood lipids,TEST_ITEMS_DISEASE,T2DM
Blood lipids,TEST_ITEMS_DISEASE,PCOS
Blood lipids,TEST_ITEMS_DISEASE,Atherosclerosis
Blood lipids,TEST_ITEMS_DISEASE,DKD
Blood lipids,TEST_ITEMS_DISEASE,Diabetic microvascular complications
Control blood sugar,TEST_ITEMS_DISEASE,diabetes
Improve your lifestyle,TREATMENT_DISEASE,diabetes
Improve your lifestyle,TREATMENT_DISEASE,High blood sugar
HDL cholesterol,TEST_ITEMS_DISEASE,obesity
HDL cholesterol,TEST_ITEMS_DISEASE,overweight
LDL cholesterol,TEST_ITEMS_DISEASE,obesity
LDL cholesterol,TEST_ITEMS_DISEASE,overweight
Emotional Response,SYMPTOM_DISEASE,diabetes
Frustration,SYMPTOM_DISEASE,diabetes
irritability,SYMPTOM_DISEASE,diabetes
Worry,SYMPTOM_DISEASE,diabetes
Loneliness,SYMPTOM_DISEASE,diabetes
Frustration,SYMPTOM_DISEASE,diabetes
Guilt,SYMPTOM_DISEASE,diabetes
Education and psychological intervention,TREATMENT_DISEASE,diabetes
Mood disorders,SYMPTOM_DISEASE,diabetes
Glucose metabolism status,TEST_ITEMS_DISEASE,diabetes
Psychological interventions,TREATMENT_DISEASE,diabetes
With music therapy,TREATMENT_DISEASE,diabetes
Relaxation practice,TREATMENT_DISEASE,diabetes
Diet therapy,TREATMENT_DISEASE,diabetes
Diet therapy,TREATMENT_DISEASE,Diabetic nephropathy
Diet therapy,TREATMENT_DISEASE,Gestational diabetes
Diet therapy,TREATMENT_DISEASE,CKD
Diet therapy,TREATMENT_DISEASE,HUA
Exercise,TREATMENT_DISEASE,diabetes
Exercise,TREATMENT_DISEASE,Intermittent claudication
Continuous subcutaneous infusion,METHOD_DRUG,insulin
Daily Health,TREATMENT_DISEASE,Complications of diabetes
Self-Care,TREATMENT_DISEASE,Complications of diabetes
skin care,TREATMENT_DISEASE,Diabetic foot
Dental Care,TREATMENT_DISEASE,Diabetic foot
Daily care,TREATMENT_DISEASE,Diabetic foot
DSME,TREATMENT_DISEASE,diabetes
Healthy eating,TREATMENT_DISEASE,diabetes
Healthy eating,TREATMENT_DISEASE,CKD
Healthy eating,TREATMENT_DISEASE,HUA
Social support,TREATMENT_DISEASE,diabetes
Foot,ANATOMY_DISEASE,diabetes
Foot,ANATOMY_DISEASE,Diabetic foot
Foot,ANATOMY_DISEASE,Foot ulcers
Provide emotional support,TREATMENT_DISEASE,diabetes
Visual impairment,SYMPTOM_DISEASE,Stroke
Visual impairment,SYMPTOM_DISEASE,Kidney disease
Limited mobility,SYMPTOM_DISEASE,Stroke
Limited mobility,SYMPTOM_DISEASE,Kidney disease
Depression,SYMPTOM_DISEASE,Geriatric syndrome
Providing emotional support related to depression,TREATMENT_DISEASE,Complications of diabetes
Increase the special self-care skills needed,TREATMENT_DISEASE,Complications of diabetes
Develop new management plans and educational support programs,TREATMENT_DISEASE,diabetes
Nutrition Education,TREATMENT_DISEASE,diabetes
Diabetes Education,TREATMENT_DISEASE,diabetes
Mental Health Counseling,TREATMENT_DISEASE,diabetes
Blood sugar control,TEST_ITEMS_DISEASE,Type 2 diabetes
Blood sugar control,TEST_ITEMS_DISEASE,obesity
Blood sugar control,TEST_ITEMS_DISEASE,T2DM
Glycated hemoglobin (HbA1c),TEST_ITEMS_DISEASE,diabetes
Glycated hemoglobin (HbA1c),TEST_ITEMS_DISEASE,T2DM
Abdominal cavity,ANATOMY_DISEASE,Abdominal obesity
Blood sugar reduction,TREATMENT_DISEASE,obesity
Blood sugar reduction,TREATMENT_DISEASE,T2DM
Strengthen psychological intervention,TREATMENT_DISEASE,obesity
Strengthen psychological intervention,TREATMENT_DISEASE,overweight
Reduce your weight,TREATMENT_DISEASE,T2DM
Gaining weight,ADE_DRUG,Insulin secretagogues
Gaining weight,ADE_DRUG,Sulfonylureas
Gaining weight,ADE_DRUG,insulin
Gaining weight,ADE_DRUG,Sulfonylureas
Gaining weight,ADE_DRUG,Thiazolidinediones (TZDs)
Gaining weight,ADE_DRUG,Beta-blockers
Reduce patient weight,ADE_DRUG,Sulfonylureas
Reduce patient weight,ADE_DRUG,GLP-1 receptor agonists
Reduce patient weight,ADE_DRUG,SGLT-2 inhibitors
1.2mg,AMOUNT_DRUG,Liraglutide
1.8mg,AMOUNT_DRUG,Liraglutide
3.0 mg/day,AMOUNT_DRUG,Liraglutide
Peripheral insulin resistance,PATHOGENESIS_DISEASE,T2DM
Compensatory appetite,ADE_DRUG,SGLT-2 inhibitors
Bariatric Surgery,OPERATION_DISEASE,obesity
Bariatric Surgery,OPERATION_DISEASE,T2DM
Postoperative follow-up,TREATMENT_DISEASE,T2DM
Nutrition and exercise guidance,TREATMENT_DISEASE,T2DM
Ovaries,ANATOMY_DISEASE,Polycystic Ovary Syndrome (PCOS)
Ovaries,ANATOMY_DISEASE,Polycystic ovary syndrome
Ovaries,ANATOMY_DISEASE,Polycystic ovary
Laparoscopic sleeve gastrectomy (LSG),OPERATION_DISEASE,obesity
Laparoscopic sleeve gastrectomy (LSG),OPERATION_DISEASE,T2DM
Gastric bypass (RYGB),OPERATION_DISEASE,T2DM
Pancreatic β-cell function has been significantly impaired,PATHOGENESIS_DISEASE,Type 2 diabetes
Increased weight or waist circumference,REASON_DISEASE,T2DM
Increased visceral fat,REASON_DISEASE,obesity
Triglyceride (TG),TEST_ITEMS_DISEASE,obesity
Triglyceride (TG),TEST_ITEMS_DISEASE,overweight
Triglyceride (TG),TEST_ITEMS_DISEASE,T2DM
Urinary albumin excretion rate,TEST_ITEMS_DISEASE,Diabetic nephropathy
Urinary albumin excretion rate,TEST_ITEMS_DISEASE,Kidney damage
Atrial fibrillation,REASON_DISEASE,Stroke
Assessment of cardiovascular risk factors,TREATMENT_DISEASE,obesity
Assessment of cardiovascular risk factors,TREATMENT_DISEASE,T2DM
Beta-blockers,DRUG_DISEASE,Type 2 diabetes
Beta-blockers,DRUG_DISEASE,diabetes
Beta-blockers,DRUG_DISEASE,Diabetic nephropathy
Increased blood sugar,ADE_DRUG,Statins
DPP-4i,DRUG_DISEASE,Type 2 diabetes
DPP-4i,DRUG_DISEASE,Type 2 diabetes
D PP-4i,DRUG_DISEASE,Type 2 diabetes
GLP-1RA,DRUG_DISEASE,Type 2 diabetes
GLP-1RA,DRUG_DISEASE,Type 2 diabetes
GLP-1RA,DRUG_DISEASE,Type 2 diabetes
Decline of pancreatic β-cell function,PATHOGENESIS_DISEASE,Type 2 diabetes mellitus (T2DM)
A diet that is mainly based on carbohydrates,REASON_DISEASE,Type 2 diabetes mellitus (T2DM)
Pancreatic β-cell function continues to deteriorate as the disease progresses,PATHOGENESIS_DISEASE,T2DM
Islet β cell burden,PATHOGENESIS_DISEASE,diabetes
Islet β cell burden,PATHOGENESIS_DISEASE,T2DM
1-2 times a day,FREQUENCY_DRUG,insulin
1-2 times a day,FREQUENCY_DRUG,Premixed insulin
Insulin lispro,DRUG_DISEASE,diabetes
Injection before dinner,METHOD_DRUG,Premixed insulin analogs
2 times a day,FREQUENCY_DRUG,insulin
2 times a day,FREQUENCY_DRUG,Premixed insulin
2 times a day,FREQUENCY_DRUG,Premixed insulin analogs
2 times a day,FREQUENCY_DRUG,Premixed human insulin
Subcutaneous injection 30 minutes before meals,METHOD_DRUG,Premixed human insulin
Inject immediately before meals,METHOD_DRUG,Rapid-acting insulin analogs
Inject immediately before meals,METHOD_DRUG,Premixed insulin analogs
Inject immediately before meals,METHOD_DRUG,Short-acting human insulin
Inject immediately after a meal,METHOD_DRUG,Premixed insulin analogs
Subcutaneous injection 30 minutes before breakfast and dinner,METHOD_DRUG,Premixed human insulin
2~4IU,AMOUNT_DRUG,insulin
10~12IU,AMOUNT_DRUG,Premixed insulin analogs
3~6IU,AMOUNT_DRUG,Premixed insulin analogs
3IU,AMOUNT_DRUG,Premixed insulin analogs
Self-monitoring of blood glucose (SMBG),TEST_ITEMS_DISEASE,diabetes
SMBG,TEST_ITEMS_DISEASE,Type 2 diabetes
High blood sugar,ADE_DRUG,insulin
1~4IU,AMOUNT_DRUG,Premixed insulin
1~4IU,AMOUNT_DRUG,Premixed insulin analogs
2 hPG,TEST_ITEMS_DISEASE,T2DM
2 hPG,TEST_ITEMS_DISEASE,GDM
2 hPG,TEST_ITEMS_DISEASE,Cardiovascular death
2 hPG,TEST_ITEMS_DISEASE,All-cause death
Increased carotid intima-media thickness (CIMT),REASON_DISEASE,High blood sugar
Pancreatic β-cell dysfunction,PATHOGENESIS_DISEASE,High blood sugar
Pancreatic beta cells can further deteriorate,PATHOGENESIS_DISEASE,High blood sugar
Monitoring PPG,TEST_ITEMS_DISEASE,diabetes
Monitoring PPG,TEST_ITEMS_DISEASE,Hypoglycemia
Daily blood sugar,TEST_ITEMS_DISEASE,Type 2 diabetes
Daily blood sugar,TEST_ITEMS_DISEASE,Hypoglycemia
Daily blood sugar,TEST_ITEMS_DISEASE,T2DM
Daily blood sugar,TEST_ITEMS_DISEASE,High blood sugar
Inflammatory factors,TEST_ITEMS_DISEASE,Cardiovascular disease
Hypercoagulable state,TEST_ITEMS_DISEASE,Cardiovascular disease
Post-meal exercise,TREATMENT_DISEASE,T2DM
Voglibose,DRUG_DISEASE,High blood sugar
Voglibose,DRUG_DISEASE,Chronic kidney disease
Voglibose,DRUG_DISEASE,CKD stage 1-3
Voglibose,DRUG_DISEASE,CKD Stages 1-3
Miglitol,DRUG_DISEASE,High blood sugar
12 Weeks Later,DURATION_DRUG,Nateglinide
Diet therapy alone,TREATMENT_DISEASE,T2DM
30~60min,DURATION_DRUG,Rapid-acting insulin analogs
Human insulin,DRUG_DISEASE,Type 2 diabetes
Human insulin,DRUG_DISEASE,Type 1 diabetes
Subcutaneous injection immediately before meals,METHOD_DRUG,Rapid-acting insulin analogs
Subcutaneous injection 15-30 minutes before meals,METHOD_DRUG,Short-acting insulin
Pancreatic Islets,DRUG_DISEASE,T2DM
α-Glucosidase printing agent,DRUG_DISEASE,T2DM
3 months and above,DURATION_DRUG,Premixed insulin
1~2 hPG,TEST_ITEMS_DISEASE,High blood sugar
Placebo,DRUG_DISEASE,T2DM
Effect on body weight is neutral or mild,ADE_DRUG,DPP-4 enzyme inhibitors
SGLT2i,DRUG_DISEASE,diabetes
SGLT2i,DRUG_DISEASE,T2DM
SGLT2i,DRUG_DISEASE,T1DM
Dapagliflozin,DRUG_DISEASE,T2DM
Renal glucose threshold,TEST_ITEMS_DISEASE,T2DM
5mg,AMOUNT_DRUG,Dapagliflozin
100mg,AMOUNT_DRUG,Canagliflozin
100mg,AMOUNT_DRUG,Cilostazol
10mg,AMOUNT_DRUG,Empagliflozin
10mg,AMOUNT_DRUG,Dapagliflozin
300mg,AMOUNT_DRUG,Canagliflozin
25mg,AMOUNT_DRUG,Sitagliptin
25mg,AMOUNT_DRUG,Empagliflozin
25mg,AMOUNT_DRUG,Hydrochlorothiazide
Urogenital tract,ANATOMY_DISEASE,Urogenital tract infection
Blood ketone bodies,TEST_ITEMS_DISEASE,DKA
Liver and Kidney,ANATOMY_DISEASE,Liver and kidney dysfunction
